,trip_id,train_name,date,cargo,station_id,event,cargo_type,fuel_level,ended
0,1CBFNO6B9M,UDAXI,2024-06-01 10:23:36,59.0,station_A,Final carga,Machinery,1000.0,True
1,1CBFNO6B9M,UDAXI,2024-06-01 10:23:36,59.0,station_A,Salida de vagones,Machinery,1000.0,True
2,1CBFNO6B9M,UDAXI,2024-06-01 12:07:57,59.0,station_B,Llegada de vagones,Machinery,904.6,True
3,1CBFNO6B9M,UDAXI,2024-06-01 12:11:15,45.0,station_B,Descarga de vagones,Machinery,904.6,True
4,1CBFNO6B9M,UDAXI,2024-06-01 12:11:15,45.0,station_B,Salida de vagones,Machinery,904.6,True
5,1CBFNO6B9M,UDAXI,2024-06-01 13:25:10,45.0,station_C,Llegada de vagones,Machinery,852.4,True
6,1CBFNO6B9M,UDAXI,2024-06-01 13:31:18,17.0,station_C,Descarga de vagones,Machinery,852.4,True
7,1CBFNO6B9M,UDAXI,2024-06-01 13:31:18,17.0,station_C,Salida de vagones,Machinery,852.4,True
8,1CBFNO6B9M,UDAXI,2024-06-01 16:28:57,17.0,station_D,Llegada de vagones,Machinery,747.1,True
9,1CBFNO6B9M,UDAXI,2024-06-01 16:31:00,9.0,station_D,Descarga de vagones,Machinery,747.1,True
10,1CBFNO6B9M,UDAXI,2024-06-01 16:31:00,9.0,station_D,Salida de vagones,Machinery,747.1,True
11,1CBFNO6B9M,UDAXI,2024-06-01 18:24:30,9.0,station_E,Llegada de vagones,Machinery,681.7,True
12,1CBFNO6B9M,UDAXI,2024-06-01 18:24:30,9.0,station_E,Descarga de vagones,Machinery,681.7,True
13,1CBFNO6B9M,UDAXI,2024-06-01 18:24:30,9.0,station_E,Salida de vagones,Machinery,681.7,True
14,1CBFNO6B9M,UDAXI,2024-06-01 20:53:30,9.0,station_F,Llegada de vagones,Machinery,603.22,True
15,1CBFNO6B9M,UDAXI,2024-06-01 20:53:56,7.0,station_F,Descarga de vagones,Machinery,603.22,True
16,1CBFNO6B9M,UDAXI,2024-06-01 20:53:56,7.0,station_F,Salida de vagones,Machinery,603.22,True
17,1CBFNO6B9M,UDAXI,2024-06-02 02:31:19,7.0,station_G,Llegada de vagones,Machinery,442.72,True
18,1CBFNO6B9M,UDAXI,2024-06-02 02:32:42,1.0,station_G,Descarga de vagones,Machinery,442.72,True
19,1CBFNO6B9M,UDAXI,2024-06-02 02:32:42,1.0,station_G,Final de ruta,Machinery,442.72,True
