trip_id,train_name,date,cargo,station_id,event,cargo_type,fuel_level
1CBFNO6B9M,UDAXI,2024-06-01 10:00:00,0,station_A,Comienzo de ruta,_,1000.0
1CBFNO6B9M,UDAXI,2024-06-01 10:10:34,29,station_A,Final carga,Machinery,1000.0
1CBFNO6B9M,UDAXI,2024-06-01 10:10:34,29,station_A,Salida de vagones,Machinery,1000.0
1CBFNO6B9M,UDAXI,2024-06-01 10:34:43,29,station_B,Llegada de vagones,Machinery,922.6
1CBFNO6B9M,UDAXI,2024-06-01 10:36:30,22,station_B,Descarga de vagones,Machinery,922.6
1CBFNO6B9M,UDAXI,2024-06-01 10:36:30,22,station_B,Salida de vagones,Machinery,922.6
1CBFNO6B9M,UDAXI,2024-06-01 10:50:34,22,station_C,Llegada de vagones,Machinery,878.6800000000001
1CBFNO6B9M,UDAXI,2024-06-01 10:54:05,8,station_C,Descarga de vagones,Machinery,878.6800000000001
1CBFNO6B9M,UDAXI,2024-06-01 10:54:05,8,station_C,Salida de vagones,Machinery,878.6800000000001
1CBFNO6B9M,UDAXI,2024-06-01 11:34:59,8,station_D,Llegada de vagones,Machinery,781.48
1CBFNO6B9M,UDAXI,2024-06-01 11:36:02,4,station_D,Descarga de vagones,Machinery,781.48
1CBFNO6B9M,UDAXI,2024-06-01 11:36:02,4,station_D,Salida de vagones,Machinery,781.48
1CBFNO6B9M,UDAXI,2024-06-01 12:06:33,4,station_E,Llegada de vagones,Machinery,719.08
1CBFNO6B9M,UDAXI,2024-06-01 12:06:33,4,station_E,Descarga de vagones,Machinery,719.08
1CBFNO6B9M,UDAXI,2024-06-01 12:06:33,4,station_E,Salida de vagones,Machinery,719.08
1CBFNO6B9M,UDAXI,2024-06-01 12:35:48,4,station_F,Llegada de vagones,Machinery,644.2
1CBFNO6B9M,UDAXI,2024-06-01 12:36:04,3,station_F,Descarga de vagones,Machinery,644.2
1CBFNO6B9M,UDAXI,2024-06-01 12:36:04,3,station_F,Salida de vagones,Machinery,644.2
1CBFNO6B9M,UDAXI,2024-06-01 13:40:07,3,station_G,Llegada de vagones,Machinery,489.70000000000005
1CBFNO6B9M,UDAXI,2024-06-01 13:40:50,0,station_G,Descarga de vagones,Machinery,489.70000000000005
1CBFNO6B9M,UDAXI,2024-06-01 13:40:50,0,station_G,Final de ruta,Machinery,489.70000000000005
VRJNVGFYGW,HHEXD,2024-06-10 10:00:00,0,station_A,Comienzo de ruta,_,800.0
VRJNVGFYGW,HHEXD,2024-06-10 10:11:42,41,station_A,Final carga,Chemicals,800.0
VRJNVGFYGW,HHEXD,2024-06-10 10:11:42,41,station_A,Salida de vagones,Chemicals,800.0
VRJNVGFYGW,HHEXD,2024-06-10 10:38:39,41,station_B,Llegada de vagones,Chemicals,715.4
VRJNVGFYGW,HHEXD,2024-06-10 10:42:13,25,station_B,Descarga de vagones,Chemicals,715.4
VRJNVGFYGW,HHEXD,2024-06-10 10:42:13,25,station_B,Salida de vagones,Chemicals,715.4
VRJNVGFYGW,HHEXD,2024-06-10 11:02:44,25,station_C,Llegada de vagones,Chemicals,670.4
VRJNVGFYGW,HHEXD,2024-06-10 11:07:10,0,station_C,Descarga de vagones,Chemicals,670.4
VRJNVGFYGW,HHEXD,2024-06-10 11:07:10,0,station_C,Salida de vagones,Chemicals,670.4
VRJNVGFYGW,HHEXD,2024-06-10 11:57:06,0,station_D,Llegada de vagones,Chemicals,580.4
VRJNVGFYGW,HHEXD,2024-06-10 11:57:06,0,station_D,Descarga de vagones,Chemicals,580.4
VRJNVGFYGW,HHEXD,2024-06-10 11:57:06,0,station_D,Salida de vagones,Chemicals,580.4
VRJNVGFYGW,HHEXD,2024-06-10 12:31:09,0,station_E,Llegada de vagones,Chemicals,520.4
VRJNVGFYGW,HHEXD,2024-06-10 12:31:09,0,station_E,Descarga de vagones,Chemicals,520.4
VRJNVGFYGW,HHEXD,2024-06-10 12:31:09,0,station_E,Salida de vagones,Chemicals,520.4
VRJNVGFYGW,HHEXD,2024-06-10 13:13:46,0,station_F,Llegada de vagones,Chemicals,448.4
VRJNVGFYGW,HHEXD,2024-06-10 13:13:46,0,station_F,Descarga de vagones,Chemicals,448.4
VRJNVGFYGW,HHEXD,2024-06-10 13:13:46,0,station_F,Salida de vagones,Chemicals,448.4
VRJNVGFYGW,HHEXD,2024-06-10 14:38:23,0,station_G,Llegada de vagones,Chemicals,298.4
VRJNVGFYGW,HHEXD,2024-06-10 14:38:23,0,station_G,Descarga de vagones,Chemicals,298.4
VRJNVGFYGW,HHEXD,2024-06-10 14:38:23,0,station_G,Final de ruta,Chemicals,298.4
F9SXMECOSF,VXRCS,2024-06-15 10:00:00,0,station_A,Comienzo de ruta,_,1200.0
F9SXMECOSF,VXRCS,2024-06-15 10:02:11,11,station_A,Final carga,Electronics,1200.0
F9SXMECOSF,VXRCS,2024-06-15 10:02:11,11,station_A,Salida de vagones,Electronics,1200.0
F9SXMECOSF,VXRCS,2024-06-15 11:00:49,11,station_B,Llegada de vagones,Electronics,1146.72
F9SXMECOSF,VXRCS,2024-06-15 11:01:34,5,station_B,Descarga de vagones,Electronics,1146.72
F9SXMECOSF,VXRCS,2024-06-15 11:01:34,5,station_B,Salida de vagones,Electronics,1146.72
F9SXMECOSF,VXRCS,2024-06-15 11:39:08,5,station_C,Llegada de vagones,Electronics,1116.48
F9SXMECOSF,VXRCS,2024-06-15 11:39:23,3,station_C,Descarga de vagones,Electronics,1116.48
F9SXMECOSF,VXRCS,2024-06-15 11:39:23,3,station_C,Salida de vagones,Electronics,1116.48
F9SXMECOSF,VXRCS,2024-06-15 13:25:51,3,station_D,Llegada de vagones,Electronics,1042.32
F9SXMECOSF,VXRCS,2024-06-15 13:26:14,0,station_D,Descarga de vagones,Electronics,1042.32
F9SXMECOSF,VXRCS,2024-06-15 13:26:14,0,station_D,Salida de vagones,Electronics,1042.32
F9SXMECOSF,VXRCS,2024-06-15 14:28:31,0,station_E,Llegada de vagones,Electronics,994.3199999999999
F9SXMECOSF,VXRCS,2024-06-15 14:28:31,0,station_E,Descarga de vagones,Electronics,994.3199999999999
F9SXMECOSF,VXRCS,2024-06-15 14:28:31,0,station_E,Salida de vagones,Electronics,994.3199999999999
F9SXMECOSF,VXRCS,2024-06-15 15:46:13,0,station_F,Llegada de vagones,Electronics,936.7199999999999
F9SXMECOSF,VXRCS,2024-06-15 15:46:13,0,station_F,Descarga de vagones,Electronics,936.7199999999999
F9SXMECOSF,VXRCS,2024-06-15 15:46:13,0,station_F,Salida de vagones,Electronics,936.7199999999999
F9SXMECOSF,VXRCS,2024-06-15 18:06:48,0,station_G,Llegada de vagones,Electronics,816.7199999999999
F9SXMECOSF,VXRCS,2024-06-15 18:06:48,0,station_G,Descarga de vagones,Electronics,816.7199999999999
F9SXMECOSF,VXRCS,2024-06-15 18:06:48,0,station_G,Final de ruta,Electronics,816.7199999999999
WNREK8PK3Y,UDAXI,2024-06-01 18:00:00,0,station_A,Comienzo de ruta,_,1000.0
WNREK8PK3Y,UDAXI,2024-06-01 18:06:12,19,station_A,Final carga,Chemicals,1000.0
WNREK8PK3Y,UDAXI,2024-06-01 18:06:12,19,station_A,Salida de vagones,Chemicals,1000.0
WNREK8PK3Y,UDAXI,2024-06-01 18:28:47,19,station_B,Llegada de vagones,Chemicals,942.88
WNREK8PK3Y,UDAXI,2024-06-01 18:30:11,12,station_B,Descarga de vagones,Chemicals,942.88
WNREK8PK3Y,UDAXI,2024-06-01 18:30:11,12,station_B,Salida de vagones,Chemicals,942.88
WNREK8PK3Y,UDAXI,2024-06-01 18:45:19,12,station_C,Llegada de vagones,Chemicals,910.624
WNREK8PK3Y,UDAXI,2024-06-01 18:47:08,2,station_C,Descarga de vagones,Chemicals,910.624
WNREK8PK3Y,UDAXI,2024-06-01 18:47:08,2,station_C,Salida de vagones,Chemicals,910.624
WNREK8PK3Y,UDAXI,2024-06-01 19:28:49,2,station_D,Llegada de vagones,Chemicals,837.184
WNREK8PK3Y,UDAXI,2024-06-01 19:29:00,1,station_D,Descarga de vagones,Chemicals,837.184
WNREK8PK3Y,UDAXI,2024-06-01 19:29:00,1,station_D,Salida de vagones,Chemicals,837.184
WNREK8PK3Y,UDAXI,2024-06-01 19:59:52,1,station_E,Llegada de vagones,Chemicals,788.704
